epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2
62,62,0.08852888,0.087230586,nan,0.087261915,nan,0.0016951917,0.0016315504,6.36414e-05,9.665933e-07,0.0035778137,0.01,0.7654321,0.7654321,0.08664181,0.085358255,nan,0.08544108,nan,0.0016759395,0.001611029,6.491048e-05,9.668773e-07
63,63,0.087162726,0.08586233,nan,0.08628221,nan,0.0016709728,0.0016087964,6.217633e-05,9.668773e-07,0.0022633302,0.01,0.7777778,0.7777778,0.08669529,0.08538645,nan,0.08540284,nan,0.0016818309,0.001616657,6.517388e-05,9.671832e-07
64,64,0.0867637,0.08543656,nan,0.08569025,nan,0.001678692,0.0016151583,6.3533604e-05,9.671832e-07,0.0050768913,0.01,0.79012346,0.79012346,0.08642079,0.08508303,nan,0.08517897,nan,0.0016921299,0.0016258426,6.6287255e-05,9.672528e-07
65,65,0.08798634,0.0866239,nan,0.0863438,nan,0.0016968513,0.0016324649,6.438639e-05,9.672528e-07,0.0059611597,0.01,0.80246913,0.80246913,0.08645743,0.08512531,nan,0.08514141,nan,0.0016590575,0.00159725,6.180747e-05,9.67544e-07
66,66,0.08736773,0.08601433,nan,0.08611317,nan,0.0016600197,0.0016005443,5.947542e-05,9.67544e-07,0.0055475957,0.01,0.8148148,0.8148148,0.0862261,0.08485724,nan,0.08494249,nan,0.0016789944,0.0016202398,5.8754616e-05,9.676293e-07
67,67,0.087406054,0.08602238,nan,0.08604962,nan,0.0016718415,0.0016155976,5.62439e-05,9.676293e-07,0.0030796265,0.01,0.8271605,0.8271605,0.08610262,0.08475353,nan,0.08481022,nan,0.0016300315,0.0015739708,5.606067e-05,9.678638e-07
68,68,0.088046916,0.08665105,nan,0.08647062,nan,0.0016617591,0.001608107,5.365205e-05,9.678638e-07,0.002635727,0.01,0.83950615,0.83950615,0.08621921,0.08482353,nan,0.08481953,nan,0.0016615301,0.0016065424,5.4987708e-05,9.682043e-07
69,69,0.087653056,0.08623975,nan,0.08630901,nan,0.0016581287,0.0016054504,5.2678333e-05,9.682043e-07,0.005479335,0.01,0.8518519,0.8518519,0.085905135,0.08451683,nan,0.08460764,nan,0.0016287781,0.0015700345,5.874352e-05,9.683279e-07
70,70,0.08803019,0.08659744,nan,0.08651091,nan,0.0016569301,0.0016011255,5.5804663e-05,9.683279e-07,0.0049702707,0.01,0.86419755,0.86419755,0.08584608,0.084431656,nan,0.08448445,nan,0.0016357269,0.0015773819,5.8345046e-05,9.686037e-07
71,71,0.08729618,0.08587697,nan,0.086067155,nan,0.0016181311,0.0015627242,5.540683e-05,9.686037e-07,0.0016601649,0.01,0.8765432,0.8765432,0.08601898,0.08456986,nan,0.084544234,nan,0.0016522588,0.0015953018,5.6957055e-05,9.688732e-07
72,72,0.087299086,0.085851945,nan,0.085916504,nan,0.0016270581,0.0015727743,5.4283842e-05,9.688732e-07,0.0060725478,0.01,0.8888889,0.8888889,0.08567603,0.08423942,nan,0.084330864,nan,0.001615211,0.0015604581,5.4752934e-05,9.689406e-07
73,73,0.08706715,0.08559754,nan,0.085693225,nan,0.0016297019,0.0015774309,5.2271018e-05,9.689406e-07,0.0059390743,0.01,0.90123457,0.90123457,0.08556964,0.08411183,nan,0.08417754,nan,0.0016166053,0.0015680353,4.856994e-05,9.692218e-07
74,74,0.08727862,0.0858,nan,0.08576797,nan,0.0016175174,0.0015709664,4.6550995e-05,9.692218e-07,0.0015816895,0.01,0.91358024,0.91358024,0.08563365,0.08415564,nan,0.08416221,nan,0.0016168507,0.0015711553,4.5695422e-05,9.694893e-07
75,75,0.08703684,0.085531995,nan,0.08560279,nan,0.0016242674,0.0015804298,4.3837637e-05,9.694893e-07,0.003945757,0.01,0.9259259,0.9259259,0.085379936,0.083898626,nan,0.0839777,nan,0.0015988466,0.0015526202,4.6226472e-05,9.696151e-07
76,76,0.0872611,0.08574414,nan,0.085701734,nan,0.0016157895,0.001571084,4.4705408e-05,9.696151e-07,0.005791978,0.01,0.9382716,0.9382716,0.08534406,0.08386171,nan,0.0838965,nan,0.0015789091,0.0015320419,4.6867153e-05,9.69853e-07
77,77,0.08707389,0.08552647,nan,0.085579045,nan,0.0016268397,0.0015824643,4.4375458e-05,9.69853e-07,0.0022314624,0.01,0.9506173,0.9506173,0.08541103,0.083875746,nan,0.083881974,nan,0.0016140668,0.00156699,4.7076723e-05,9.699414e-07
