epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2
37,37,0.23247135,0.09294671,nan,0.09316869,nan,0.30465823,0.29692072,0.0077375034,0.0007876194,0.049634274,0.01,0.45679012,0.45679012,0.23300174,0.092161,nan,0.092295446,nan,0.30753744,0.30295873,0.004578717,0.00078960316
38,38,0.23846616,0.09212308,nan,0.09243676,nan,0.31115225,0.30196822,0.009184037,0.00078960316,0.07652477,0.01,0.4691358,0.4691358,0.23610799,0.09225155,nan,0.09226472,nan,0.30584997,0.30035272,0.005497261,0.00079138484
39,39,0.24509701,0.09386066,nan,0.09343349,nan,0.31331486,0.30239975,0.010915089,0.00079138484,0.10833801,0.01,0.4814815,0.4814815,0.24089263,0.091900304,nan,0.09200963,nan,0.30865264,0.30108422,0.007568428,0.00079295743
40,40,0.24748924,0.092767455,nan,0.092967264,nan,0.31251863,0.30075556,0.011763071,0.00079295743,0.09302385,0.01,0.49382716,0.49382716,0.24531293,0.09179925,nan,0.091862366,nan,0.3100708,0.30849233,0.001578494,0.00079435925
41,41,0.24534547,0.09183094,nan,0.09217183,nan,0.30249047,0.29633495,0.0061555253,0.00079435925,0.053482916,0.01,0.50617284,0.50617284,0.24290958,0.09140104,nan,0.091539435,nan,0.29852614,0.29467326,0.0038528612,0.000795605
42,42,0.25083494,0.09339428,nan,0.09302755,nan,0.30283996,0.29397792,0.008862036,0.000795605,0.08313253,0.01,0.5185185,0.5185185,0.25086802,0.091303594,nan,0.091374345,nan,0.3069347,0.30182278,0.005111931,0.00079668366
43,43,0.25700533,0.09131547,nan,0.09182909,nan,0.31131682,0.30213928,0.009177535,0.00079668366,0.078100584,0.01,0.5308642,0.5308642,0.25313434,0.09110708,nan,0.09118726,nan,0.3044165,0.30306047,0.0013560452,0.00079762173
44,44,0.25672442,0.09198526,nan,0.09193841,nan,0.30247223,0.29687896,0.0055932836,0.00079762173,0.0460799,0.01,0.54320985,0.54320985,0.25390786,0.090896346,nan,0.09098362,nan,0.29929098,0.294706,0.004584986,0.0007984399
45,45,0.26382592,0.092648156,nan,0.09243523,nan,0.30732155,0.29873732,0.008584243,0.0007984399,0.085871026,0.01,0.5555556,0.5555556,0.25774565,0.09090514,nan,0.09092868,nan,0.2995138,0.2983328,0.001180973,0.0007991366
46,46,0.26370603,0.09234177,nan,0.09236981,nan,0.30095094,0.29569462,0.00525633,0.0007991366,0.0360834,0.01,0.56790125,0.56790125,0.26245728,0.09077841,nan,0.090823494,nan,0.30150434,0.29789692,0.003607412,0.00079973997
47,47,0.2692551,0.09179768,nan,0.09196932,nan,0.30503112,0.2973778,0.0076533407,0.00079973997,0.070103616,0.01,0.5802469,0.5802469,0.26187104,0.090955615,nan,0.09091598,nan,0.29375616,0.292869,0.00088715926,0.00080020743
48,48,0.2676896,0.091937535,nan,0.09194707,nan,0.29578137,0.29080617,0.004975208,0.00080020743,0.058962982,0.01,0.5925926,0.5925926,0.26441035,0.09056425,nan,0.090669766,nan,0.29256475,0.29017028,0.0023944806,0.00080054696
49,49,0.27413863,0.092157856,nan,0.09209462,nan,0.3000248,0.2933363,0.0066885077,0.00080054696,0.08833692,0.01,0.60493827,0.60493827,0.26893687,0.090539426,nan,0.090578526,nan,0.29410112,0.29292747,0.0011736449,0.0008008062
50,50,0.27759525,0.0914541,nan,0.09164626,nan,0.30074784,0.2955808,0.005167024,0.0008008062,0.045361098,0.01,0.61728394,0.61728394,0.27307984,0.09034935,nan,0.0904181,nan,0.29522243,0.29299366,0.0022287758,0.00080096995
51,51,0.2804497,0.0915214,nan,0.09155886,nan,0.2992616,0.29312992,0.006131687,0.00080096995,0.07220627,0.01,0.6296296,0.6296296,0.2746524,0.09049264,nan,0.090470284,nan,0.29168797,0.29082525,0.000862706,0.00080104853
52,52,0.28016922,0.091743596,nan,0.09168817,nan,0.2927081,0.28799435,0.004713733,0.00080104853,0.044207256,0.01,0.6419753,0.6419753,0.27973703,0.090870656,nan,0.090750545,nan,0.29339468,0.29169634,0.0016983327,0.00080103084
53,53,0.28736484,0.09237261,nan,0.09216728,nan,0.29720595,0.29161093,0.005595041,0.00080103084,0.074675255,0.01,0.654321,0.654321,0.28017703,0.09027862,nan,0.090420194,nan,0.28942114,0.2885133,0.0009078245,0.0008009446
54,54,0.28794676,0.091151476,nan,0.09145622,nan,0.294392,0.28993025,0.0044617355,0.0008009446,0.047612768,0.01,0.6666667,0.6666667,0.28102055,0.09026598,nan,0.09031224,nan,0.28533104,0.28381032,0.0015207164,0.0008007936
55,55,0.29093575,0.09168777,nan,0.09161831,nan,0.29263714,0.2876154,0.00502176,0.0008007936,0.08160186,0.01,0.67901236,0.67901236,0.2862172,0.09026612,nan,0.09027996,nan,0.28778195,0.28711426,0.0006677028,0.0008005676
56,56,0.2899122,0.09059115,nan,0.090899296,nan,0.28750306,0.2831858,0.00431725,0.0008005676,0.04705096,0.01,0.69135803,0.69135803,0.28644165,0.09029199,nan,0.090288386,nan,0.28291622,0.28182504,0.0010911875,0.00080025994
57,57,0.296305,0.090693146,nan,0.09075499,nan,0.291385,0.28651333,0.0048716636,0.00080025994,0.12939401,0.01,0.7037037,0.7037037,0.2941844,0.0902171,nan,0.09023848,nan,0.28904834,0.28831297,0.0007353748,0.00079987635
58,58,0.30211392,0.0916602,nan,0.09138864,nan,0.29310963,0.28876555,0.004344066,0.00079987635,0.09570997,0.01,0.7160494,0.7160494,0.2955114,0.09009252,nan,0.090136304,nan,0.2860787,0.28497106,0.0011076402,0.00079940294
59,59,0.30348963,0.09171972,nan,0.09162039,nan,0.2899356,0.2854819,0.0044537024,0.00079940294,0.09982506,0.01,0.72839504,0.72839504,0.29354054,0.0901848,nan,0.09017025,nan,0.27838448,0.27771458,0.0006698845,0.0007988539
60,60,0.3064254,0.09230755,nan,0.0921014,nan,0.28826025,0.28397724,0.0042830175,0.0007988539,0.12296591,0.01,0.7407407,0.7407407,0.29932684,0.090162046,nan,0.090164505,nan,0.28157422,0.28091913,0.00065507664,0.0007982532
61,61,0.3059332,0.09164851,nan,0.09178438,nan,0.2837437,0.279645,0.0040987073,0.0007982532,0.059836168,0.01,0.75308645,0.75308645,0.3062469,0.09012067,nan,0.09013382,nan,0.28618968,0.28537634,0.00081333675,0.0007975927
62,62,0.30897716,0.09127767,nan,0.09142968,nan,0.28361624,0.27942717,0.0041890843,0.0007975927,0.08565577,0.01,0.7654321,0.7654321,0.30271947,0.09003619,nan,0.09006548,nan,0.27706352,0.27653527,0.0005282401,0.000796885
63,63,0.31250477,0.0916991,nan,0.09161828,nan,0.2830961,0.27922732,0.003868786,0.000796885,0.054410655,0.01,0.7777778,0.7777778,0.3060337,0.090172924,nan,0.09014069,nan,0.27673915,0.2761738,0.0005653404,0.00079613004
64,64,0.31576404,0.09098229,nan,0.09117308,nan,0.28369328,0.27985606,0.003837241,0.00079613004,0.07602529,0.01,0.79012346,0.79012346,0.31801867,0.09003699,nan,0.0900681,nan,0.287744,0.28743953,0.00030446876,0.00079531356
65,65,0.31739932,0.0919126,nan,0.09169074,nan,0.28019583,0.2766842,0.003511646,0.00079531356,0.062997654,0.01,0.80246913,0.80246913,0.3187186,0.0901546,nan,0.09012865,nan,0.28403145,0.28341046,0.0006210055,0.0007944634
66,66,0.32191792,0.09170487,nan,0.09170063,nan,0.28173974,0.2781273,0.0036124384,0.0007944634,0.119506225,0.01,0.8148148,0.8148148,0.3159935,0.09016443,nan,0.090153694,nan,0.27636027,0.27608052,0.00027976918,0.0007935512
67,67,0.3209871,0.09116117,nan,0.091323,nan,0.2770557,0.2737474,0.0033083,0.0007935512,0.05741323,0.01,0.8271605,0.8271605,0.3151243,0.09007448,nan,0.09009825,nan,0.27128252,0.27086014,0.00042238063,0.00079262437
68,68,0.32478237,0.09232917,nan,0.09202732,nan,0.2761002,0.27262926,0.00347093,0.00079262437,0.2086055,0.01,0.83950615,0.83950615,0.32123572,0.089901544,nan,0.08996055,nan,0.2747681,0.27431265,0.00045546153,0.0007916951
69,69,0.32858956,0.092108086,nan,0.09208386,nan,0.276817,0.27349764,0.0033193561,0.0007916951,0.18375252,0.01,0.8518519,0.8518519,0.32388127,0.090045445,nan,0.09001998,nan,0.27371222,0.27343872,0.00027348608,0.0007907065
70,70,0.33398545,0.091139175,nan,0.09142258,nan,0.2802171,0.27715302,0.003064108,0.0007907065,0.064128436,0.01,0.86419755,0.86419755,0.325172,0.08996755,nan,0.08998328,nan,0.27137548,0.2709082,0.00046725624,0.00078966195
71,71,0.33466008,0.09118601,nan,0.09125698,nan,0.27697653,0.27354544,0.0034310832,0.00078966195,0.075392745,0.01,0.8765432,0.8765432,0.32134306,0.08993325,nan,0.08994825,nan,0.26321417,0.26281625,0.0003979353,0.00078855903
72,72,0.33511737,0.09165076,nan,0.091532625,nan,0.27311137,0.26996464,0.0031467436,0.00078855903,0.10933649,0.01,0.8888889,0.8888889,0.32629636,0.0898915,nan,0.089908525,nan,0.26516804,0.26489344,0.00027460817,0.00078742404
73,73,0.3401033,0.091032304,nan,0.0911824,nan,0.27557904,0.27261215,0.002966892,0.00078742404,0.09989816,0.01,0.90123457,0.90123457,0.3282491,0.08993992,nan,0.089930505,nan,0.263639,0.26301765,0.0006213622,0.00078624114
74,74,0.33702537,0.09063043,nan,0.09079602,nan,0.26891634,0.2653156,0.0036007455,0.00078624114,0.09415434,0.01,0.91358024,0.91358024,0.33172643,0.08996226,nan,0.08995273,nan,0.26384872,0.26310802,0.00074071094,0.0007850314
75,75,0.34636962,0.09178152,nan,0.09148587,nan,0.27417013,0.27077702,0.0033931276,0.0007850314,0.13952449,0.01,0.9259259,0.9259259,0.339521,0.08984138,nan,0.08987479,nan,0.26887015,0.26866162,0.00020853152,0.0007838342
76,76,0.34318495,0.09081372,nan,0.09101537,nan,0.26819077,0.2653464,0.0028443683,0.0007838342,0.088010475,0.01,0.9382716,0.9382716,0.3372932,0.089792944,nan,0.089817494,nan,0.2630006,0.26247686,0.00052375195,0.00078258634
77,77,0.34667003,0.091641195,nan,0.09145345,nan,0.26749447,0.26418373,0.0033107304,0.00078258634,0.08879201,0.01,0.9506173,0.9506173,0.33436322,0.089843005,nan,0.08983535,nan,0.25644127,0.25538337,0.0010578855,0.0007812834
